DateTime,Robot_X,Robot_Y,Robot_Angle,Ball_X,Ball_Y
09.02.2024 21:48:43,-0.248077,1.01893,0.000670667,0.0575047,1.48595
09.02.2024 21:48:43,-0.247503,1.02081,0.000575575,0.0574909,1.48518
09.02.2024 21:48:43,-0.247564,1.01775,0.000616074,0.0573636,1.48588
09.02.2024 21:48:43,-0.260434,1.01951,-0.0207819,0.0572198,1.4771
09.02.2024 21:48:43,-0.259196,1.01929,-0.0207597,0.0574521,1.47701
09.02.2024 21:48:43,-0.258019,1.01998,-0.0210214,0.0572428,1.47728
09.02.2024 21:48:43,-0.259075,1.01972,-0.020785,0.0571945,1.47675
09.02.2024 21:48:43,-0.259249,1.02053,-0.0208393,0.0570666,1.47686
09.02.2024 21:48:43,-0.260077,1.01934,-0.020788,0.0571615,1.47685
09.02.2024 21:48:43,-0.261977,1.01548,-0.0242132,0.0522147,1.47535
09.02.2024 21:48:43,-0.261507,1.01443,-0.0240757,0.0522033,1.47537
09.02.2024 21:48:43,-0.261224,1.01406,-0.0241623,0.0522447,1.47631
09.02.2024 21:48:44,-0.261291,1.0143,-0.0241778,0.052065,1.47526
09.02.2024 21:48:44,-0.262398,1.01512,-0.0240956,0.0524598,1.47603
09.02.2024 21:48:44,-0.262395,1.01634,-0.0218965,0.0550513,1.4791
09.02.2024 21:48:44,-0.264152,1.01523,-0.0218951,0.0550639,1.47928
09.02.2024 21:48:44,-0.264071,1.01694,-0.0219641,0.0548233,1.47921
09.02.2024 21:48:44,-0.263556,1.0153,-0.0219656,0.0548107,1.47904
09.02.2024 21:48:44,-0.263706,1.01532,-0.0219198,0.0548063,1.47902
09.02.2024 21:48:44,-0.264258,1.01649,-0.0219198,0.0548063,1.47902
09.02.2024 21:48:44,-0.258685,1.01553,-0.0195425,0.0542576,1.47732
09.02.2024 21:48:44,-0.258033,1.01491,-0.0195425,0.0542576,1.47732
09.02.2024 21:48:44,-0.259058,1.01521,-0.019612,0.0540172,1.47725
09.02.2024 21:48:44,-0.258151,1.01515,-0.0195662,0.0540127,1.47724
09.02.2024 21:48:45,-0.259114,1.0155,-0.019612,0.0540172,1.47725
09.02.2024 21:48:45,-0.258441,1.01688,-0.019622,0.0538721,1.47717
09.02.2024 21:48:45,-0.286039,1.00946,-0.0460306,0.0474317,1.47826
